row,col,red_before,nir_before,red_after,nir_after
0,0,0.18,0.72,0.19,0.70
0,1,0.17,0.70,0.18,0.69
0,2,0.18,0.71,0.19,0.68
0,3,0.19,0.73,0.20,0.70
0,4,0.18,0.72,0.19,0.71
0,5,0.17,0.69,0.18,0.68
1,0,0.18,0.71,0.19,0.70
1,1,0.17,0.72,0.18,0.68
1,2,0.18,0.70,0.36,0.39
1,3,0.19,0.74,0.38,0.37
1,4,0.18,0.72,0.19,0.69
1,5,0.17,0.70,0.18,0.67
2,0,0.18,0.73,0.19,0.69
2,1,0.17,0.71,0.34,0.40
2,2,0.18,0.72,0.41,0.31
2,3,0.19,0.73,0.43,0.29
2,4,0.18,0.70,0.35,0.38
2,5,0.17,0.69,0.18,0.66
3,0,0.19,0.72,0.20,0.69
3,1,0.18,0.71,0.36,0.36
3,2,0.17,0.70,0.44,0.27
3,3,0.18,0.73,0.45,0.26
3,4,0.19,0.72,0.37,0.35
3,5,0.18,0.70,0.19,0.67
4,0,0.18,0.71,0.19,0.68
4,1,0.17,0.70,0.18,0.67
4,2,0.18,0.72,0.35,0.39
4,3,0.19,0.73,0.37,0.36
4,4,0.18,0.71,0.19,0.68
4,5,0.17,0.69,0.18,0.66
5,0,0.18,0.70,0.19,0.68
5,1,0.17,0.71,0.18,0.69
5,2,0.18,0.72,0.19,0.70
5,3,0.19,0.73,0.20,0.71
5,4,0.18,0.70,0.19,0.68
5,5,0.17,0.69,0.18,0.67
